id,anomalyID,srcIP,srcPort,dstIP,dstPort,taxonomy,heuristic,distance,nbDetectors,label
21,123,0,443,163.194.159.81,0,mptp,,-0.229724,2,suspicious
20,122,0,80,163.194.158.174,0,mptp,,-0.229724,2,suspicious
18,121,0,443,163.194.144.123,0,mptp,,-0.229724,2,suspicious
23,127,0,443,163.194.251.53,0,mptp,,-0.229724,2,suspicious
26,133,0,0,45.97.205.68,8080,mptp,,-0.229724,2,suspicious
16,112,0,443,163.194.158.144,0,mptp,,-0.229724,2,suspicious
22,124,0,443,163.194.70.249,0,mptp,,-0.229724,2,suspicious
19,122,0,443,163.194.158.174,0,mptp,,-0.229724,2,suspicious
17,120,0,0,133.251.142.101,50356,mptp,,-0.229724,2,suspicious
12,59,0,0,163.194.204.245,25,mptp,,-0.341792,2,suspicious
11,58,0,0,103.114.32.137,0,mptp,,-0.341792,2,suspicious
9,54,0,3389,178.90.112.138,0,mptp,,-0.341792,2,suspicious
10,56,0,5900,14.9.205.219,0,mptp,,-0.341792,2,suspicious
8,91,0,0,202.6.210.24,53,mptp,,-0.379151,1,suspicious
2,74,0,0,163.194.163.7,0,mptp,,-0.379151,1,suspicious
1,73,0,0,163.194.161.26,0,mptp,,-0.379151,1,suspicious
6,83,0,0,133.251.142.53,0,mptp,,-0.379151,1,suspicious
7,87,0,0,203.76.65.150,0,mptp,,-0.379151,1,suspicious
5,80,0,0,163.194.230.158,0,mptp,,-0.379151,1,suspicious
4,78,0,0,133.251.140.58,0,mptp,,-0.379151,1,suspicious
3,76,0,0,64.187.120.214,0,mptp,,-0.379151,1,suspicious
109,109,0,443,163.194.131.77,0,mptp,504,-0.398877,2,notice
119,119,0,443,163.194.168.246,0,mptp,504,-0.481969,1,notice
5,5,0,48173,165.28.199.175,58038,mptp,10,-0.481969,1,notice
6,6,0,32263,165.28.199.175,58810,mptp,10,-0.481969,1,notice
112,112,0,443,163.194.159.61,0,mptp,504,-0.481969,1,notice
35,35,0,0,202.186.164.251,39411,mptp,999,-0.481969,1,notice
115,115,0,443,163.194.71.97,0,mptp,504,-0.481969,1,notice
7,7,0,0,194.58.155.70,0,mptp,10,-0.481969,1,notice
110,110,0,443,163.194.144.136,0,mptp,504,-0.481969,1,notice
33,33,0,0,202.186.164.253,22414,mptp,999,-0.481969,1,notice
32,32,0,0,202.186.165.169,28928,mptp,999,-0.481969,1,notice
114,114,202.11.159.189,80,163.194.62.16,0,mptp,504,-0.481969,1,notice
113,113,0,443,163.194.62.16,0,mptp,504,-0.481969,1,notice
111,111,0,80,163.194.144.136,0,mptp,504,-0.481969,1,notice
117,117,0,443,163.194.236.199,0,mptp,504,-0.481969,1,notice
34,34,0,0,202.186.164.253,445,mptp,999,-0.481969,1,notice
120,120,0,0,163.194.168.246,0,mptp,504,-0.481969,1,notice
118,118,0,0,163.194.236.199,0,mptp,504,-0.481969,1,notice
4,4,0,0,162.79.238.160,0,mptp,10,-0.481969,1,notice
116,116,0,443,163.194.4.150,0,mptp,504,-0.481969,1,notice
106,106,0,443,163.194.20.219,0,mptp,504,-0.495735,1,notice
1,1,0,0,133.229.34.41,445,mptp,4,-0.495735,1,notice
3,3,0,0,202.186.165.26,445,mptp,4,-0.495735,1,notice
107,107,0,443,163.194.16.81,0,mptp,504,-0.495735,1,notice
104,104,0,443,163.194.156.52,0,mptp,504,-0.495735,1,notice
108,108,0,443,163.194.24.222,0,mptp,504,-0.495735,1,notice
30,30,0,0,38.196.26.52,0,mptp,999,-0.495735,1,notice
16,16,0,0,163.194.2.253,0,mptp,20,-0.495735,1,notice
2,2,0,0,157.29.20.236,0,mptp,4,-0.495735,1,notice
103,103,0,0,163.194.157.83,0,mptp,504,-0.495735,1,notice
105,105,163.194.159.86,80,163.194.156.52,0,mptp,504,-0.495735,1,notice
26,26,0,0,88.181.240.24,0,mptp,52,-0.495735,1,notice
31,31,0,0,163.194.159.84,3069,mptp,999,-0.495735,1,notice
83,83,0,0,163.194.203.237,0,mptp,502,-0.549656,1,notice
54,166,163.194.204.232,993,0,0,ptmp,,0.0387,3,anomalous
55,166,163.194.204.232,443,0,0,ptmp,,0.0387,3,anomalous
53,157,203.76.65.176,443,0,0,ptmp,,0.0387,3,anomalous
56,141,103.114.32.132,0,0,0,ptmp,,0.56733,9,anomalous
57,153,202.11.159.189,0,0,443,ptmp,,0.60665,10,anomalous
58,187,103.114.32.146,0,0,0,ptmp,,0.60665,10,anomalous
59,188,103.114.32.144,0,0,0,ptmp,,0.60665,10,anomalous
51,18,60.57.199.223,0,0,1433,ptmp,,-0.162286,3,suspicious
52,39,39.18.193.161,0,0,6379,ptmp,,-0.162286,3,suspicious
50,14,111.226.220.228,0,0,1433,ptmp,,-0.162286,3,suspicious
49,117,202.11.159.43,443,0,0,ptmp,,-0.229724,2,suspicious
48,40,164.164.247.172,0,0,445,ptmp,,-0.341792,2,suspicious
125,125,202.11.159.189,0,0,443,ptmp,504,-0.360208,2,notice
36,36,202.6.210.24,53,0,0,ptmp,999,-0.360208,2,notice
123,123,133.229.187.87,0,0,443,ptmp,504,-0.360208,2,notice
124,124,163.194.14.135,0,0,443,ptmp,504,-0.360208,2,notice
37,37,51.193.61.245,39270,0,0,ptmp,999,-0.481969,1,notice
122,122,163.194.156.102,0,0,443,ptmp,504,-0.481969,1,notice
121,121,133.229.187.28,0,0,443,ptmp,504,-0.549656,1,notice
92,92,163.194.158.156,0,0,0,ptmp,503,-0.549656,1,notice
61,69,0,0,0.0.0.0,0,empty,,-0.10483,1,suspicious
60,65,0,0,0.0.0.0,0,empty,,-0.16131,1,suspicious
27,27,0,0,0.0.0.0,0,empty,901,-0.495735,1,notice
77,178,13.226.110.251,443,0,0,mptmp,,0.0387,3,anomalous
78,178,0,443,163.194.158.189,0,mptmp,,0.0387,3,anomalous
80,183,0,443,163.194.71.30,0,mptmp,,0.0387,3,anomalous
79,183,0,443,163.194.71.214,0,mptmp,,0.0387,3,anomalous
117,145,0,0,0,3389,mptmp,,0.3735,8,anomalous
105,181,17.2.202.9,443,0,0,mptmp,,0.4324,6,anomalous
104,173,0,443,163.194.60.177,0,mptmp,,0.4324,6,anomalous
99,159,0,443,163.194.158.228,0,mptmp,,0.4324,6,anomalous
100,159,0,443,163.194.89.136,0,mptmp,,0.4324,6,anomalous
106,181,17.2.202.9,80,0,0,mptmp,,0.4324,6,anomalous
108,181,0,443,163.194.71.192,0,mptmp,,0.4324,6,anomalous
103,173,0,443,163.194.156.102,0,mptmp,,0.4324,6,anomalous
107,181,0,443,163.194.75.81,0,mptmp,,0.4324,6,anomalous
101,169,0,443,163.194.127.81,0,mptmp,,0.23328,6,anomalous
102,169,0,443,163.194.158.156,0,mptmp,,0.23328,6,anomalous
109,190,0,0,0,443,mptmp,,0.23328,6,anomalous
96,150,0,0,203.76.73.214,80,mptmp,,0.25262,6,anomalous
97,150,0,0,203.76.68.67,80,mptmp,,0.25262,6,anomalous
98,150,192.33.151.183,0,203.76.73.214,21,mptmp,,0.25262,6,anomalous
119,170,203.76.68.67,80,0,0,mptmp,,0.45808,8,anomalous
118,170,203.76.73.214,80,0,0,mptmp,,0.45808,8,anomalous
112,162,0,443,163.194.12.72,0,mptmp,,0.46928,7,anomalous
115,174,0,80,0,0,mptmp,,0.46928,7,anomalous
116,174,0,443,163.194.111.192,0,mptmp,,0.46928,7,anomalous
114,164,0,443,163.194.158.38,0,mptmp,,0.46928,7,anomalous
113,164,13.226.119.198,443,0,0,mptmp,,0.46928,7,anomalous
110,162,0,443,163.194.89.114,0,mptmp,,0.46928,7,anomalous
111,162,0,443,163.194.227.6,0,mptmp,,0.46928,7,anomalous
125,156,146.167.232.4,1901,0,1900,mptmp,,0.50533,9,anomalous
123,149,45.109.164.68,8080,0,0,mptmp,,0.50533,9,anomalous
122,149,89.3.65.72,46283,0,0,mptmp,,0.50533,9,anomalous
124,156,103.114.32.137,0,0,0,mptmp,,0.50533,9,anomalous
120,175,0,443,163.194.14.135,0,mptmp,,0.51382,8,anomalous
121,175,0,443,162.37.192.224,0,mptmp,,0.51382,8,anomalous
127,163,146.167.232.4,1901,0,1900,mptmp,,0.60665,10,anomalous
126,163,45.113.200.80,59401,0,0,mptmp,,0.60665,10,anomalous
95,119,94.10.69.198,0,0,8728,mptmp,,-0.03927,4,suspicious
92,119,178.223.93.167,0,0,0,mptmp,,-0.03927,4,suspicious
94,119,94.10.69.198,0,0,22,mptmp,,-0.03927,4,suspicious
93,119,94.10.69.198,0,0,8291,mptmp,,-0.03927,4,suspicious
88,62,163.194.158.26,0,0,53,mptmp,,-0.08335,4,suspicious
89,62,0,0,163.194.15.121,53,mptmp,,-0.08335,4,suspicious
83,62,17.2.202.12,0,91.235.124.74,0,mptmp,,-0.08335,4,suspicious
90,62,0,0,91.235.126.140,53,mptmp,,-0.08335,4,suspicious
84,62,17.2.202.12,0,0,53,mptmp,,-0.08335,4,suspicious
91,62,0,0,91.235.124.74,53,mptmp,,-0.08335,4,suspicious
86,62,163.194.158.26,0,91.235.126.140,0,mptmp,,-0.08335,4,suspicious
85,62,163.194.158.26,0,163.194.15.121,0,mptmp,,-0.08335,4,suspicious
81,62,17.2.202.12,0,163.194.15.121,0,mptmp,,-0.08335,4,suspicious
82,62,17.2.202.12,0,91.235.126.140,0,mptmp,,-0.08335,4,suspicious
87,62,163.194.158.26,0,91.235.124.74,0,mptmp,,-0.08335,4,suspicious
75,114,163.194.158.182,0,198.4.47.131,8801,mptmp,,-0.162285,3,suspicious
76,114,163.194.159.30,0,198.4.47.131,8801,mptmp,,-0.162285,3,suspicious
73,114,163.194.159.30,0,0,443,mptmp,,-0.162285,3,suspicious
74,114,0,0,198.4.47.131,443,mptmp,,-0.162285,3,suspicious
72,114,163.194.158.182,0,0,443,mptmp,,-0.162285,3,suspicious
67,109,192.94.182.226,0,203.76.66.91,0,mptmp,,-0.204551,3,suspicious
71,109,0,0,202.6.217.15,53,mptmp,,-0.204551,3,suspicious
69,109,192.94.182.226,0,0,53,mptmp,,-0.204551,3,suspicious
68,109,192.94.182.226,0,202.6.217.15,0,mptmp,,-0.204551,3,suspicious
70,109,0,0,203.76.66.91,53,mptmp,,-0.204551,3,suspicious
66,88,0,53,163.194.158.26,0,mptmp,,-0.312698,2,suspicious
64,88,38.196.26.2,53,0,0,mptmp,,-0.312698,2,suspicious
63,88,38.196.26.2,0,163.194.158.26,0,mptmp,,-0.312698,2,suspicious
62,88,38.196.26.2,0,17.2.202.12,0,mptmp,,-0.312698,2,suspicious
65,88,0,53,17.2.202.12,0,mptmp,,-0.312698,2,suspicious
38,38,38.196.26.2,53,0,0,mptmp,999,-0.398877,2,notice
39,39,0,53,163.194.230.175,0,mptmp,999,-0.398877,2,notice
139,189,133.229.84.49,53184,52.36.133.136,443,alphfl,,0.0387,3,anomalous
138,165,133.223.220.15,0,13.98.119.246,443,alphfl,,0.0387,3,anomalous
141,158,163.194.236.113,0,13.33.212.181,443,alphfl,,0.10152,4,anomalous
142,139,133.229.80.238,389,82.127.188.147,0,alphfl,,0.12912,5,anomalous
143,160,17.4.190.104,443,163.194.70.64,0,alphfl,,0.23328,6,anomalous
144,154,202.11.159.88,0,38.196.26.2,53,alphfl,,0.37396,7,anomalous
145,155,17.4.190.21,443,163.194.156.172,0,alphfl,,0.46928,7,anomalous
140,111,165.23.158.149,0,133.251.140.36,0,alphfl,,-0.08335,4,suspicious
137,116,119.231.110.29,0,203.76.77.50,53,alphfl,,-0.08844,3,suspicious
130,64,203.76.70.218,46204,68.46.128.248,9001,alphfl,,-0.09333,2,suspicious
136,89,210.130.191.156,0,163.194.167.21,53,alphfl,,-0.184463,3,suspicious
134,129,203.76.68.89,55962,198.4.75.179,8801,alphfl,,-0.229724,2,suspicious
133,129,203.76.68.89,55964,198.4.75.179,8801,alphfl,,-0.229724,2,suspicious
132,129,203.76.68.89,59886,198.4.75.179,443,alphfl,,-0.229724,2,suspicious
135,129,203.76.68.89,13807,198.4.75.179,8801,alphfl,,-0.229724,2,suspicious
131,101,51.49.47.252,0,203.76.70.128,53,alphfl,,-0.312698,2,suspicious
129,3,23.116.153.139,5431,203.76.75.21,5060,alphfl,,-0.341792,2,suspicious
128,104,51.49.47.252,0,203.76.70.130,53,alphfl,,-0.379151,1,suspicious
139,139,23.199.28.223,443,163.194.127.81,64773,alphfl,504,-0.398877,2,notice
141,141,23.199.28.223,443,163.194.127.81,64759,alphfl,504,-0.398877,2,notice
138,138,23.199.28.223,443,163.194.127.81,64775,alphfl,504,-0.398877,2,notice
140,140,23.199.28.223,443,163.194.127.81,64762,alphfl,504,-0.398877,2,notice
144,144,0,0,51.32.105.197,0,alphfl,504,-0.481969,1,notice
59,59,0,0,185.26.38.57,0,alphfl,999,-0.481969,1,notice
143,143,0,0,185.161.238.78,0,alphfl,504,-0.481969,1,notice
142,142,23.185.133.205,0,0,0,alphfl,504,-0.481969,1,notice
58,58,0,0,180.152.61.47,0,alphfl,999,-0.495735,1,notice
55,55,0,0,126.223.79.11,0,alphfl,999,-0.495735,1,notice
57,57,0,0,103.238.252.9,0,alphfl,999,-0.495735,1,notice
137,137,0,0,52.137.151.247,0,alphfl,504,-0.495735,1,notice
54,54,0,0,91.241.99.135,0,alphfl,999,-0.495735,1,notice
56,56,0,0,185.74.38.221,0,alphfl,999,-0.495735,1,notice
50,50,134.19.167.152,8801,163.194.92.117,0,alphfl,999,-0.549656,1,notice
47,47,163.194.89.107,38236,46.103.182.231,5060,alphfl,999,-0.549656,1,notice
49,49,150.2.14.5,9000,163.194.70.159,54594,alphfl,999,-0.549656,1,notice
46,46,131.114.89.165,0,97.76.63.14,0,alphfl,999,-0.549656,1,notice
51,51,198.4.76.96,8801,163.194.29.229,0,alphfl,999,-0.549656,1,notice
132,132,52.247.223.215,443,202.6.207.126,0,alphfl,504,-0.549656,1,notice
43,43,46.103.182.231,5060,163.194.89.107,38236,alphfl,999,-0.549656,1,notice
131,131,202.11.159.36,0,13.98.119.242,443,alphfl,504,-0.549656,1,notice
128,128,103.101.243.16,14235,203.76.65.181,443,alphfl,504,-0.549656,1,notice
52,52,117.103.92.226,50283,203.76.68.74,40013,alphfl,999,-0.549656,1,notice
135,135,185.200.140.114,443,163.194.157.123,51446,alphfl,504,-0.549656,1,notice
133,133,13.226.82.137,443,203.76.65.150,57898,alphfl,504,-0.549656,1,notice
45,45,134.19.167.87,0,0,0,alphfl,999,-0.549656,1,notice
134,134,163.194.156.131,0,13.226.110.244,443,alphfl,504,-0.549656,1,notice
42,42,204.146.213.229,993,202.6.207.126,62790,alphfl,999,-0.549656,1,notice
126,126,133.229.147.254,37550,208.79.171.231,443,alphfl,504,-0.549656,1,notice
127,127,13.226.110.244,443,163.194.156.131,0,alphfl,504,-0.549656,1,notice
136,136,131.114.68.39,0,180.38.252.25,443,alphfl,504,-0.549656,1,notice
40,40,198.4.79.4,8801,163.194.24.46,55954,alphfl,999,-0.549656,1,notice
48,48,198.4.40.186,8801,163.194.52.43,53544,alphfl,999,-0.549656,1,notice
130,130,198.4.46.60,443,163.194.159.35,0,alphfl,504,-0.549656,1,notice
129,129,99.180.77.10,443,163.194.122.229,55204,alphfl,504,-0.549656,1,notice
53,53,82.127.188.147,8801,202.11.159.189,49798,alphfl,999,-0.549656,1,notice
44,44,134.19.164.52,8801,203.76.65.151,0,alphfl,999,-0.549656,1,notice
41,41,153.132.74.244,59886,203.76.68.74,40001,alphfl,999,-0.549656,1,notice
167,148,0,443,163.194.26.56,0,mptpla,,0.14855,3,anomalous
166,135,133.229.84.49,0,54.180.87.13,443,mptpla,,-0.162285,3,suspicious
165,135,133.229.187.73,0,54.180.87.13,443,mptpla,,-0.162285,3,suspicious
149,125,0,443,163.194.70.250,0,mptpla,,-0.229724,2,suspicious
151,125,54.7.151.221,80,163.194.70.250,0,mptpla,,-0.229724,2,suspicious
153,130,163.194.71.251,0,0,8801,mptpla,,-0.229724,2,suspicious
156,130,163.194.14.255,0,198.4.40.219,0,mptpla,,-0.229724,2,suspicious
164,136,202.6.217.15,53,68.236.64.84,53,mptpla,,-0.229724,2,suspicious
152,130,163.194.71.251,0,198.4.40.219,0,mptpla,,-0.229724,2,suspicious
159,130,163.194.71.144,0,0,8801,mptpla,,-0.229724,2,suspicious
163,136,202.6.216.34,53,68.236.64.84,53,mptpla,,-0.229724,2,suspicious
160,130,0,0,198.4.40.219,8801,mptpla,,-0.229724,2,suspicious
157,130,163.194.14.255,0,0,8801,mptpla,,-0.229724,2,suspicious
150,125,13.229.30.37,80,163.194.70.250,0,mptpla,,-0.229724,2,suspicious
158,130,163.194.71.144,0,198.4.40.219,0,mptpla,,-0.229724,2,suspicious
162,136,202.6.243.204,53,68.236.64.84,53,mptpla,,-0.229724,2,suspicious
154,130,163.194.158.14,0,198.4.40.219,0,mptpla,,-0.229724,2,suspicious
155,130,163.194.158.14,0,0,8801,mptpla,,-0.229724,2,suspicious
161,130,0,0,198.4.40.219,443,mptpla,,-0.229724,2,suspicious
146,72,0,0,109.51.89.12,0,mptpla,,-0.379151,1,suspicious
147,90,0,0,203.76.77.10,53,mptpla,,-0.379151,1,suspicious
148,95,0,0,44.230.236.128,53,mptpla,,-0.379151,1,suspicious
169,169,0,0,202.186.161.62,0,mptpla,504,-0.481969,1,notice
67,67,0,0,5.239.234.9,0,mptpla,999,-0.481969,1,notice
170,170,0,0,58.59.155.208,0,mptpla,504,-0.481969,1,notice
166,166,0,443,163.194.14.38,0,mptpla,504,-0.481969,1,notice
89,89,0,0,5.68.129.19,0,mptpla,502,-0.481969,1,notice
167,167,0,0,164.244.140.9,0,mptpla,504,-0.481969,1,notice
168,168,0,0,82.127.188.147,0,mptpla,504,-0.481969,1,notice
66,66,0,0,156.239.210.189,0,mptpla,999,-0.481969,1,notice
152,152,0,0,52.137.55.143,0,mptpla,504,-0.495735,1,notice
155,155,0,0,35.81.36.25,0,mptpla,504,-0.495735,1,notice
162,162,0,0,18.119.141.197,0,mptpla,504,-0.495735,1,notice
147,147,0,0,99.180.77.37,0,mptpla,504,-0.495735,1,notice
150,150,0,0,3.230.35.106,0,mptpla,504,-0.495735,1,notice
88,88,0,0,5.68.218.146,0,mptpla,502,-0.495735,1,notice
151,151,0,0,3.17.72.70,0,mptpla,504,-0.495735,1,notice
164,164,0,0,3.139.72.134,0,mptpla,504,-0.495735,1,notice
84,84,0,0,106.11.145.195,0,mptpla,502,-0.495735,1,notice
87,87,0,0,119.89.245.104,0,mptpla,502,-0.495735,1,notice
157,157,0,0,54.175.205.137,0,mptpla,504,-0.495735,1,notice
64,64,0,0,69.250.162.238,0,mptpla,999,-0.495735,1,notice
62,62,0,0,69.88.97.95,0,mptpla,999,-0.495735,1,notice
65,65,0,0,52.158.198.124,53,mptpla,999,-0.495735,1,notice
86,86,0,0,167.217.115.226,0,mptpla,502,-0.495735,1,notice
156,156,0,0,99.180.77.25,0,mptpla,504,-0.495735,1,notice
159,159,0,0,3.123.64.28,0,mptpla,504,-0.495735,1,notice
145,145,0,0,52.247.199.168,0,mptpla,504,-0.495735,1,notice
163,163,0,0,54.6.28.49,0,mptpla,504,-0.495735,1,notice
146,146,0,0,65.132.254.155,0,mptpla,504,-0.495735,1,notice
153,153,0,0,13.32.182.165,0,mptpla,504,-0.495735,1,notice
154,154,0,0,34.18.15.75,0,mptpla,504,-0.495735,1,notice
161,161,0,0,216.194.184.148,0,mptpla,504,-0.495735,1,notice
158,158,0,0,67.43.15.233,0,mptpla,504,-0.495735,1,notice
63,63,0,0,77.246.236.124,0,mptpla,999,-0.495735,1,notice
148,148,0,0,52.156.100.220,0,mptpla,504,-0.495735,1,notice
149,149,0,0,3.115.237.51,0,mptpla,504,-0.495735,1,notice
160,160,0,0,13.32.182.233,0,mptpla,504,-0.495735,1,notice
85,85,0,0,89.3.65.244,0,mptpla,502,-0.495735,1,notice
17,17,0,0,198.39.4.37,0,mptpla,20,-0.495735,1,notice
165,165,0,0,3.17.68.120,0,mptpla,504,-0.495735,1,notice
61,61,0,0,51.49.47.252,0,mptpla,999,-0.549656,1,notice
60,60,0,3702,91.121.93.111,0,mptpla,999,-0.549656,1,notice
174,172,203.76.76.255,0,91.228.211.116,58294,ptmpla,,0.03796,5,anomalous
176,172,203.76.76.255,0,91.228.211.118,57988,ptmpla,,0.03796,5,anomalous
175,172,203.76.76.255,0,91.228.211.123,58534,ptmpla,,0.03796,5,anomalous
172,152,133.229.174.144,0,52.37.83.36,0,ptmpla,,0.09373,4,anomalous
169,152,133.229.174.144,41910,52.37.83.36,443,ptmpla,,0.09373,4,anomalous
170,152,133.229.174.144,41908,52.37.83.36,443,ptmpla,,0.09373,4,anomalous
173,152,133.229.174.144,53820,54.181.75.87,443,ptmpla,,0.09373,4,anomalous
171,152,133.229.174.144,41904,52.37.83.36,443,ptmpla,,0.09373,4,anomalous
168,63,111.53.171.189,0,0,1433,ptmpla,,-0.341792,2,suspicious
175,175,23.210.225.227,0,0,0,ptmpla,504,-0.481969,1,notice
173,173,133.223.120.252,0,13.98.185.34,443,ptmpla,504,-0.481969,1,notice
172,172,133.223.120.252,0,13.98.119.246,443,ptmpla,504,-0.481969,1,notice
176,176,212.48.109.178,0,0,0,ptmpla,504,-0.481969,1,notice
174,174,151.149.72.134,0,0,0,ptmpla,504,-0.481969,1,notice
171,171,163.194.156.186,0,0,0,ptmpla,504,-0.549656,1,notice
177,92,0,0,38.196.26.32,53,DDoSUDP,,-0.379151,1,suspicious
68,68,0,0,13.98.167.9,53,DDoSUDP,999,-0.481969,1,notice
178,2,213.55.125.230,0,203.76.72.219,53,malphfl,,-0.03927,4,suspicious
93,93,91.235.125.246,80,163.194.6.43,37310,malphfl,503,-0.549656,1,notice
177,177,163.194.26.156,443,163.194.159.9,65355,malphfl,504,-0.549656,1,notice
210,143,39.30.8.108,0,0,6379,ntscSYN,,0.26343,6,anomalous
211,167,222.184.8.242,9090,0,22,ntscSYN,,0.32702,7,anomalous
199,34,59.10.40.136,0,0,1433,ntscSYN,,-0.162286,3,suspicious
204,44,203.76.70.232,0,0,1433,ntscSYN,,-0.162286,3,suspicious
192,24,1.69.39.91,0,0,1433,ntscSYN,,-0.162286,3,suspicious
197,32,110.124.87.255,0,0,1433,ntscSYN,,-0.162286,3,suspicious
196,31,58.195.55.131,0,0,1333,ntscSYN,,-0.162286,3,suspicious
200,37,111.250.180.3,0,0,1433,ntscSYN,,-0.162286,3,suspicious
195,30,117.70.33.117,0,0,1433,ntscSYN,,-0.162286,3,suspicious
189,20,112.248.214.57,0,0,1433,ntscSYN,,-0.162286,3,suspicious
191,23,120.29.169.65,0,0,1433,ntscSYN,,-0.162286,3,suspicious
202,42,223.111.195.187,0,0,1433,ntscSYN,,-0.162286,3,suspicious
188,19,116.117.245.46,0,0,1433,ntscSYN,,-0.162286,3,suspicious
203,43,47.22.200.27,0,0,6379,ntscSYN,,-0.162286,3,suspicious
190,22,1.69.39.92,0,0,1433,ntscSYN,,-0.162286,3,suspicious
207,47,36.168.159.204,0,0,1433,ntscSYN,,-0.162286,3,suspicious
193,28,122.30.85.105,0,0,1433,ntscSYN,,-0.162286,3,suspicious
186,16,84.210.7.13,0,0,1433,ntscSYN,,-0.162286,3,suspicious
206,46,220.211.147.226,0,0,1433,ntscSYN,,-0.162286,3,suspicious
198,33,203.229.7.252,0,0,1433,ntscSYN,,-0.162286,3,suspicious
187,17,171.115.247.254,0,0,1433,ntscSYN,,-0.162286,3,suspicious
208,48,219.122.255.108,0,0,1433,ntscSYN,,-0.162286,3,suspicious
181,9,61.157.143.192,0,0,1433,ntscSYN,,-0.162286,3,suspicious
201,41,49.215.110.55,0,0,1433,ntscSYN,,-0.162286,3,suspicious
205,45,58.51.116.38,0,0,1433,ntscSYN,,-0.162286,3,suspicious
209,52,58.46.207.246,0,0,1433,ntscSYN,,-0.162286,3,suspicious
182,10,115.113.44.242,0,0,23,ntscSYN,,-0.162286,3,suspicious
194,29,103.101.243.16,0,0,1433,ntscSYN,,-0.162286,3,suspicious
180,5,106.45.138.15,0,0,6379,ntscSYN,,-0.225399,3,suspicious
184,13,42.30.22.254,0,0,22,ntscSYN,,-0.245747,3,suspicious
185,13,42.30.22.254,0,0,8291,ntscSYN,,-0.245747,3,suspicious
183,13,42.30.22.254,0,0,8728,ntscSYN,,-0.245747,3,suspicious
179,102,159.206.184.159,58556,0,37524,ntscSYN,,-0.379151,1,suspicious
9,9,142.162.185.80,58624,0,28578,ntscSYN,10,-0.549656,1,notice
8,8,222.217.88.17,0,0,1433,ntscSYN,10,-0.549656,1,notice
11,11,106.47.113.179,58434,0,2376,ntscSYN,10,-0.549656,1,notice
10,10,159.206.81.74,58547,0,26044,ntscSYN,10,-0.549656,1,notice
12,12,2.124.84.22,0,0,1433,ntscSYN,10,-0.549656,1,notice
215,66,133.251.68.81,22,209.157.49.5,0,salphfl,,-0.09333,2,suspicious
217,110,219.229.192.198,443,163.194.11.96,0,salphfl,,-0.162285,3,suspicious
216,113,210.162.165.231,443,163.194.70.206,0,salphfl,,-0.229724,2,suspicious
213,1,163.194.169.22,62751,99.180.77.85,443,salphfl,,-0.341792,2,suspicious
214,61,163.194.158.248,0,198.4.78.74,53,salphfl,,-0.341792,2,suspicious
212,97,133.223.4.29,0,13.98.51.192,53,salphfl,,-0.379151,1,suspicious
74,74,0,0,117.105.7.190,0,salphfl,999,-0.481969,1,notice
